,Type,Year built,Heating,Cooling,Parking,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,neighborhood_stats,URL,HOA,Status
345,Single Family,1993,Gas,Central,2 spaces,0.32 Acres,$146,"$515,000","1135 Conan Doyle Rd, Naperville, IL 60564","3,531", No, 4, 4, 3, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ashbury will increase 0.7% (↑) in the next year.This home is valued 19.4% higher (↑) than the median home in Ashbury.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/1135-Conan-Doyle-Rd-Naperville-IL-60564/5370233_zpid/,,For Sale
346,Single Family,1989,"Forced air, Gas",Central,2 spaces,0.31 Acres,$210,"$449,900","720 Muirhead Ct, Naperville, IL 60565","2,145", No, 4, 3, 2, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in The Meadows will rise 1.2% (↑) in the next year.This home is valued 13.5% higher (↑) than the median home in The Meadows.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/720-Muirhead-Ct-Naperville-IL-60565/4548573_zpid/,,For Sale
347,Townhouse,1998,"Forced air, Gas",Central,2 spaces,28.53 Acres,$150,"$247,500","912 Moultrie Ct, Naperville, IL 60563","1,646", No, 3, 3, 2, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will rise 0.9% (↑) in the next year.This home is valued 23% lower (↓) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/912-Moultrie-Ct-Naperville-IL-60563/4503041_zpid/,,For Sale
348,Townhouse,2020,No Data,No Data,2 spaces,No Data,$176,"$389,990","Buildable plan: Edenton ei, Naperville Crossings, Naperville, IL 60564",, Yes, 3, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will increase 0.7% (↑) in the next year.This home is valued 9.6% lower (↓) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/community/naperville-crossings/2078036132_zpid/,,For Sale
349,Condo,1984,Gas,Central,2 spaces,,$132,"$144,000","5S040 Pebblewood Ln APT W105, Naperville, IL 60563","1,095", No, 2, 2, 1, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will rise 0.9% (↑) in the next year.This home is valued 55.2% lower (↓) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/5S040-Pebblewood-Ln-APT-W105-Naperville-IL-60563/4501660_zpid/,$446/mo,For Sale
350,Single Family,1978,Forced air,Central,2 spaces,"8,712 sqft",$169,"$396,000","216 Split Oak Rd, Naperville, IL 60565","2,348", No, 4, 3, 2, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Old Farm will rise 1.2% (↑) in the next year.This home is valued 0.1% lower (↓) than the median home in Old Farm.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/216-Split-Oak-Rd-Naperville-IL-60565/4551529_zpid/,None,For Sale
351,Townhouse,2020,No Data,No Data,2 spaces,No Data,$190,"$384,990","Buildable plan: Ellicott ei, Naperville Crossings, Naperville, IL 60564",, Yes, 3, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will rise 0.7% (↑) in the next year.This home is valued 10.7% lower (↓) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/community/naperville-crossings/2078036133_zpid/,,For Sale
352,Single Family,2020,Forced air,Central,2 spaces,No Data,$328,"$824,000","Buildable plan: The Laguna, DJK Custom Homes of Downtown Naperville, Naperville, IL 60540",, Yes, 3, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 99.4% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/community/djk-custom-homes-of-downtown-naperville/2078237137_zpid/,,For Sale
353,Condo,1996,Forced air,Central,1 space,,$161,"$242,000","2528 Eldorado Ln, Naperville, IL 60564","1,502", No, 3, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Woodlake will rise 0.7% (↑) in the next year.This home is valued 43.9% lower (↓) than the median home in Woodlake.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2528-Eldorado-Ln-Naperville-IL-60564/5367329_zpid/,$13/month,For Sale
354,Single Family,1983,"Forced air, Gas",Central,2 spaces,0.26 Acres,$279,"$949,900","1604 Mirror Lake Dr, Naperville, IL 60563","3,404", No, 4, 4, 2, 2,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Cress Creek Commons will increase 0.9% (↑) in the next year.This home is valued 195.5% higher (↑) than the median home in Cress Creek Commons.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1604-Mirror-Lake-Dr-Naperville-IL-60563/4503667_zpid/,,For Sale
355,Single Family,2007,"Forced air, Gas",Central,2 spaces,No Data,$280,"$575,000","2823 Melrose Ln, Naperville, IL 60564","2,054", No, 2, 2, 2,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Carillon Club will rise 0.7% (↑) in the next year.This home is valued 33.3% higher (↑) than the median home in Carillon Club.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2823-Melrose-Ln-Naperville-IL-60564/82638064_zpid/,,For Sale
356,Single Family,1961,Gas,Central,2 spaces,0.33 acres,$311,"$914,000","889 W Benton Ave, Naperville, IL 60540","2,941", No, 4, 4, 3, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 121.2% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/889-W-Benton-Ave-Naperville-IL-60540/4506449_zpid/,,For Sale
357,Townhouse,No Data,No Data,No Data,2 spaces,No Data,$181,"$361,810","4431 Monroe Ct, Naperville, IL 60564",, Yes, 2, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will increase 0.7% (↑) in the next year.This home is valued 16.1% lower (↓) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/4431-Monroe-Ct-Naperville-IL-60564/2077617914_zpid/,,For Sale
358,Single Family,1961,Gas,Central,2 spaces,"10,798 sqft",$177,"$495,000","1104 Catherine Ave, Naperville, IL 60540","2,800", No, 4, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 19.8% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/1104-Catherine-Ave-Naperville-IL-60540/4535732_zpid/,,For Sale
359,Single Family,2020,No Data,No Data,3 spaces,No Data,$163,"$509,990","Buildable plan: Riverton, Wagner Farms, Naperville, IL 60564",, Yes, 4, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will rise 0.7% (↑) in the next year.This home is valued 18.2% higher (↑) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/community/wagner-farms/2083326198_zpid/,,For Sale
360,Multi Family,1985,Forced air,Central,8 spaces,,$220,"$899,000","1642 Country Lakes Dr, Naperville, IL 60563","4,078", No, 8, 7, 4, 3,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will rise 0.9% (↑) in the next year.This home is valued 179.7% higher (↑) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1642-Country-Lakes-Dr-Naperville-IL-60563/118314977_zpid/,,For Sale
361,Townhouse,1997,Forced air,Central,1 space,0.41 acres,$155,"$205,000","2509 Arcadia Cir, Naperville, IL 60540","1,324", No, 2, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 50.4% lower (↓) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/2509-Arcadia-Cir-Naperville-IL-60540/4511149_zpid/,$310/month,For Sale
362,Single Family,1959,"Forced air, Wall",Central,2 spaces,0.88 acres,$313,"$699,000","1126 E Chicago Ave, Naperville, IL 60540","2,230", No, 3, 3, 3,,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 69.1% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/1126-E-Chicago-Ave-Naperville-IL-60540/4535708_zpid/,None,For Sale
363,Single Family,1980,Gas,Central,2 spaces,0.25 Acres,$160,"$309,900","5S506 Bonnie Ct, Naperville, IL 60563","1,940", No, 4, 3, 2, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Scots Plains will rise 0.9% (↑) in the next year.This home is valued 3.6% lower (↓) than the median home in Scots Plains.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/5S506-Bonnie-Ct-Naperville-IL-60563/4502011_zpid/,,For Sale
364,Condo,1987,"Forced air, Gas",Central,2 spaces,,$212,"$574,900","411 River Bluff Cir, Naperville, IL 60540","2,718", No, 4, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 39.1% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/411-River-Bluff-Cir-Naperville-IL-60540/4506672_zpid/,$90/mo,For Sale
365,Single Family,1999,Gas,Central,3 spaces,No Data,$201,"$699,900","2331 Modaff Rd, Naperville, IL 60565","3,485", No, 4, 4, 4,,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60565 will increase 1.2% (↑) in the next year.This home is valued 76.6% higher (↑) than the median home in 60565.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/2331-Modaff-Rd-Naperville-IL-60565/5364595_zpid/,,For Sale
366,Townhouse,1999,Forced air,Central,2 spaces,No Data,$158,"$245,000","2738 Rockport Ln, Naperville, IL 60564","1,547", No, 3, 2, 2,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will increase 0.7% (↑) in the next year.This home is valued 43.2% lower (↓) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2738-Rockport-Ln-Naperville-IL-60564/59686795_zpid/,$360/month,For Sale
367,Single Family,1987,Forced air,Central,17 spaces,1 acre,$216,"$739,900","9S061 Skylane Dr, Naperville, IL 60564","3,424", No, 5, 4, 4,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Aero Estates will rise 0.7% (↑) in the next year.This home is valued 71.6% higher (↑) than the median home in Aero Estates.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/9S061-Skylane-Dr-Naperville-IL-60564/4523327_zpid/,$100/month,For Sale
368,Townhouse,1987,Gas,Central,2 spaces,"2,178 sqft",$203,"$338,500","486 Village Green Rd, Naperville, IL 60540","1,670", No, 2, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 18.1% lower (↓) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/486-Village-Green-Rd-Naperville-IL-60540/4512671_zpid/,,For Sale
369,Single Family,1987,Other,Central,2 spaces,"8,999 sqft",$199,"$429,500","1205 Ardmore Dr, Naperville, IL 60540","2,159", No, 3, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in The Fields will rise 1.3% (↑) in the next year.This home is valued 3.9% higher (↑) than the median home in The Fields.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/1205-Ardmore-Dr-Naperville-IL-60540/4515183_zpid/,None,For Sale
370,Single Family,1978,Forced air,Central,2 spaces,"10,798 sqft",$192,"$420,000","960 Creekside Cir, Naperville, IL 60563","2,187", No, 4, 3, 2, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Creekside will rise 0.9% (↑) in the next year.This home is valued 30.7% higher (↑) than the median home in Creekside.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/960-Creekside-Cir-Naperville-IL-60563/4505160_zpid/,None,For Sale
371,Single Family,1987,"Forced air, Gas",Central,3 spaces,0.40 Acres,$172,"$734,900","654 Chesterfield Ave, Naperville, IL 60540","4,282", No, 5, 5, 5,,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Huntington Hill will increase 1.3% (↑) in the next year.This home is valued 77.8% higher (↑) than the median home in Huntington Hill.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/654-Chesterfield-Ave-Naperville-IL-60540/4539256_zpid/,,For Sale
372,Single Family,1921,Baseboard,Central,1 space,"8,372 sqft",$222,"$599,900","215 S Columbia St, Naperville, IL 60540","2,702", No, 4, 4, 4,,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 45.2% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/215-S-Columbia-St-Naperville-IL-60540/4537302_zpid/,,For Sale
373,Townhouse,2020,No Data,No Data,2 spaces,No Data,$226,"$494,588","Buildable plan: Metro, Columbia Park Townes, Naperville, IL 60563",, Yes, 3, 3, 2, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will rise 0.9% (↑) in the next year.This home is valued 53.9% higher (↑) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/community/columbia-park-townes/2086606622_zpid/,,For Sale
374,Single Family,2020,No Data,No Data,2 spaces,No Data,$160,"$540,990","Buildable plan: Castleton, Wagner Farms, Naperville, IL 60564",, Yes, 4, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will rise 0.7% (↑) in the next year.This home is valued 25.4% higher (↑) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/community/wagner-farms/2083326200_zpid/,,For Sale
