,Type,Year built,Heating,Cooling,Parking,Price/sqft,Total Price,Address,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Lot,Square Feet,HOA,Half bathrooms,Status
670,Single Family,1917,"Forced air, Gas",Central,2 spaces,$140,"$265,000","8119 S Rhodes Ave, Chicago, IL 60619", No, 4, 4, 2,"Home values in Chatham have risen 0.6% () over the past 12 months.Zillow predicts the home values in Chatham will fall 5.4% () in the next year.This home is valued 100% higher () than the median home in Chatham.The median Zestimate for this neighborhood is $132,482.",https://www.zillow.com/homedetails/8119-S-Rhodes-Ave-Chicago-IL-60619/4018561_zpid/,"3,720 sqft","1,898",, 2,For Sale
671,Condo,2015,Forced air,Central,1 space,$462,"$925,000","2245 W Armitage Ave #2, Chicago, IL 60647", No, 3, 3, 3,"Home values in Bucktown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Bucktown will rise 0.5% () in the next year.This home is valued 53.9% higher () than the median home in Bucktown.The median Zestimate for this neighborhood is $601,188.",https://www.zillow.com/homedetails/2245-W-Armitage-Ave-2-Chicago-IL-60647/2100298707_zpid/,,"2,000",$148/month,,For Sale
672,Condo,2003,Forced air,Central,1 space,$235,"$305,000","8747 W Bryn Mawr Ave APT 601, Chicago, IL 60631", No, 2, 1, 1,"Home values in O'Hare have risen 0.6% () over the past 12 months.Zillow predicts the home values in O'Hare will rise 1.6% () in the next year.This home is valued 1.8% higher () than the median home in O'Hare.The median Zestimate for this neighborhood is $299,617.",https://www.zillow.com/homedetails/8747-W-Bryn-Mawr-Ave-APT-601-Chicago-IL-60631/65549659_zpid/,,"1,300",$395/month,,For Sale
673,Condo,2002,Forced air,Central,1 space,$394,"$485,000","1322 S Prairie Ave UNIT 1713, Chicago, IL 60605", No, 2, 2,,"Home values in South Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Loop will increase 3.2% () in the next year.This home is valued 28.7% higher () than the median home in South Loop.The median Zestimate for this neighborhood is $376,901.",https://www.zillow.com/homedetails/1322-S-Prairie-Ave-UNIT-1713-Chicago-IL-60605/63704728_zpid/,,"1,232",$722/month,,For Sale
674,Condo,2008,Forced air,Central,1 space,$267,"$319,900","1134 W Granville Ave APT 719, Chicago, IL 60660", No, 2, 2, 2,"Home values in Edgewater have risen 0.6% () over the past 12 months.Zillow predicts the home values in Edgewater will increase 1.3% () in the next year.This home is valued 32.1% higher () than the median home in Edgewater.The median Zestimate for this neighborhood is $242,192.",https://www.zillow.com/homedetails/1134-W-Granville-Ave-APT-719-Chicago-IL-60660/113499351_zpid/,,"1,200",$463/month,,For Sale
675,Condo,2004,"Forced air, Gas",Central,1 space,$267,"$399,900","1730 N Western Ave APT 203, Chicago, IL 60647", No, 2, 2, 2,"Home values in Logan Square have risen 0.6% () over the past 12 months.Zillow predicts the home values in Logan Square will increase 1.6% () in the next year.This home is valued 0.9% lower () than the median home in Logan Square.The median Zestimate for this neighborhood is $403,670.",https://www.zillow.com/homedetails/1730-N-Western-Ave-APT-203-Chicago-IL-60647/70459223_zpid/,,"1,500",$331/mo,,For Sale
676,Single Family,1921,"Forced air, Gas",Central,2 spaces,$218,"$415,000","2416 N Neva Ave, Chicago, IL 60707", No, 5, 3, 2,"Home values in Montclare have risen 0.6% () over the past 12 months.Zillow predicts the home values in Montclare will decrease 2.1% () in the next year.This home is valued 61.5% higher () than the median home in Montclare.The median Zestimate for this neighborhood is $256,941.",https://www.zillow.com/homedetails/2416-N-Neva-Ave-Chicago-IL-60707/3679740_zpid/,"5,140 sqft","1,900",, 1,For Sale
677,Condo,2003,Forced air,Central,1 space,$223,"$290,000","4428 S Calumet Ave APT 3, Chicago, IL 60653", No, 3, 2, 2,"Home values in Bronzeville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Bronzeville will increase 2.7% () in the next year.This home is valued 9.4% higher () than the median home in Bronzeville.The median Zestimate for this neighborhood is $265,069.",https://www.zillow.com/homedetails/4428-S-Calumet-Ave-APT-3-Chicago-IL-60653/80838453_zpid/,,"1,300",$315/month,,For Sale
678,Single Family,1961,Gas,Central,2 spaces,$282,"$310,000","2505 N Austin Ave, Chicago, IL 60639", No, 3, 2, 2,"Home values in Belmont Central have risen 0.6% () over the past 12 months.Zillow predicts the home values in Belmont Central will fall 3% () in the next year.This home is valued 22.8% higher () than the median home in Belmont Central.The median Zestimate for this neighborhood is $252,376.",https://www.zillow.com/homedetails/2505-N-Austin-Ave-Chicago-IL-60639/3676981_zpid/,"3,092 sqft","1,100",,,For Sale
679,Condo,1926,Gas,No Data,1 space,$217,"$379,000","5840 S Stony Island Ave APT 3F, Chicago, IL 60637", No, 3, 2, 2,"Home values in East Hyde Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in East Hyde Park will fall 2.1% () in the next year.This home is valued 59.4% higher () than the median home in East Hyde Park.The median Zestimate for this neighborhood is $237,756.",https://www.zillow.com/homedetails/5840-S-Stony-Island-Ave-APT-3F-Chicago-IL-60637/2098053694_zpid/,,"1,750","$1,550/month",,For Sale
680,Single Family,1909,"Forced air, Gas",Central,4 spaces,$138,"$275,000","2714 E 78th St, Chicago, IL 60649", No, 3, 3, 2,"Home values in South Shore have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Shore will increase 4.3% () in the next year.This home is valued 153.3% higher () than the median home in South Shore.The median Zestimate for this neighborhood is $108,577.",https://www.zillow.com/homedetails/2714-E-78th-St-Chicago-IL-60649/4026055_zpid/,"3,876 sqft","2,000",, 1,For Sale
681,Condo,2001,"Forced air, Gas",Central,2 spaces,$288,"$547,500","1944 W Diversey Pkwy #1, Chicago, IL 60614", No, 3, 3, 2,"Home values in Near North have risen 0.6% () over the past 12 months.Zillow predicts the home values in Near North will fall 0% () in the next year.This home is valued 40.4% higher () than the median home in Near North.The median Zestimate for this neighborhood is $390,006.",https://www.zillow.com/homedetails/1944-W-Diversey-Pkwy-1-Chicago-IL-60614/65546567_zpid/,,"1,900",$300/mo, 1,For Sale
682,Condo,2004,"Forced air, Gas",Central,1 space,$313,"$339,000","1841 S Calumet Ave APT 709, Chicago, IL 60616", No, 2, 2, 2,"Home values in South Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Loop will increase 3.2% () in the next year.This home is valued 10.1% lower () than the median home in South Loop.The median Zestimate for this neighborhood is $376,901.",https://www.zillow.com/homedetails/1841-S-Calumet-Ave-APT-709-Chicago-IL-60616/87696388_zpid/,,"1,084",$665/mo,,For Sale
683,Condo,2000,Forced air,Central,1 space,$381,"$799,900","708 W Schubert Ave #B, Chicago, IL 60614", No, 3, 3, 3,"Home values in Lincoln Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lincoln Park will decrease 0.8% () in the next year.This home is valued 44.7% higher () than the median home in Lincoln Park.The median Zestimate for this neighborhood is $552,789.",https://www.zillow.com/homedetails/708-W-Schubert-Ave-B-Chicago-IL-60614/60264777_zpid/,,"2,100",$150/month,,For Sale
684,Condo,2007,Forced air,Central,1 space,$450,"$540,000","2401 N Janssen Ave APT 406, Chicago, IL 60614", No, 2, 2, 2,"Home values in West De Paul have risen 0.6% () over the past 12 months.Zillow predicts the home values in West De Paul will fall 0.9% () in the next year.This home is valued 31.1% lower () than the median home in West De Paul.The median Zestimate for this neighborhood is $783,255.",https://www.zillow.com/homedetails/2401-N-Janssen-Ave-APT-406-Chicago-IL-60614/89929352_zpid/,,"1,200",$190/month,,For Sale
685,Single Family,1921,"Forced air, Gas",Central,1 space,$158,"$274,900","4837 N Lowell Ave, Chicago, IL 60630", No, 6, 2, 1,"Home values in Albany Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Albany Park will decrease 1.1% () in the next year.This home is valued 12.6% lower () than the median home in Albany Park.The median Zestimate for this neighborhood is $314,708.",https://www.zillow.com/homedetails/4837-N-Lowell-Ave-Chicago-IL-60630/3639745_zpid/,"3,811 sqft","1,736",, 1,For Sale
686,Single Family,1887,"Forced air, Gas",Central,2 spaces,$262,"$849,900","2114 W Thomas St, Chicago, IL 60622", No, 4, 4, 3,"Home values in Ukrainian Village have risen 0.6% () over the past 12 months.Zillow predicts the home values in Ukrainian Village will increase 2.5% () in the next year.This home is valued 70.2% higher () than the median home in Ukrainian Village.The median Zestimate for this neighborhood is $499,489.",https://www.zillow.com/homedetails/2114-W-Thomas-St-Chicago-IL-60622/3860262_zpid/,"2,905 sqft","3,250",, 1,For Sale
687,Multiple Occupancy,1888,Gas,No Data,1 space,,"$1,395,000","650 W Wrightwood Ave, Chicago, IL 60614", No, 6, 4, 2,"Home values in Lincoln Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lincoln Park will decrease 0.8% () in the next year.This home is valued 152.4% higher () than the median home in Lincoln Park.The median Zestimate for this neighborhood is $552,789.",https://www.zillow.com/homedetails/650-W-Wrightwood-Ave-Chicago-IL-60614/2094919676_zpid/,,,, 2,For Sale
688,Condo,2009,Forced air,Central,Attached Garage,$363,"$369,900","235 W Van Buren St UNIT 4016, Chicago, IL 60607", No, 2, 2, 2,"Home values in The Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in The Loop will decrease 3.3% () in the next year.This home is valued 0.2% higher () than the median home in The Loop.The median Zestimate for this neighborhood is $369,141.",https://www.zillow.com/homedetails/235-W-Van-Buren-St-UNIT-4016-Chicago-IL-60607/159464634_zpid/,,"1,019",$424/month,,For Sale
689,Condo,2008,"Forced air, Gas",Central,1 space,$405,"$420,000","600 N Lake Shore Dr APT 1803, Chicago, IL 60611", No, 1, 2, 1,"Home values in Streeterville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Streeterville will decrease 1.2% () in the next year.This home is valued 9.5% lower () than the median home in Streeterville.The median Zestimate for this neighborhood is $463,930.",https://www.zillow.com/homedetails/600-N-Lake-Shore-Dr-APT-1803-Chicago-IL-60611/99346775_zpid/,,"1,037",$561/mo, 1,For Sale
690,Condo,2007,"Forced air, Electric, Gas",Central,1 space,$203,"$305,000","3329 S Prairie Ave #3, Chicago, IL 60616", No, 2, 2, 2,"Home values in The Gap have risen 0.6% () over the past 12 months.Zillow predicts the home values in The Gap will increase 1.3% () in the next year.This home is valued 20.3% lower () than the median home in The Gap.The median Zestimate for this neighborhood is $382,923.",https://www.zillow.com/homedetails/3329-S-Prairie-Ave-3-Chicago-IL-60616/89932636_zpid/,,"1,500",$150/mo,,For Sale
691,Condo,2006,"Forced air, Electric",Central,1 space,$364,"$540,000","1235 S Prairie Ave APT 905, Chicago, IL 60605", No, 2, 2, 2,"Home values in South Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Loop will rise 3.2% () in the next year.This home is valued 43.3% higher () than the median home in South Loop.The median Zestimate for this neighborhood is $376,901.",https://www.zillow.com/homedetails/1235-S-Prairie-Ave-APT-905-Chicago-IL-60605/87714165_zpid/,,"1,485",$708/mo,,For Sale
692,Townhouse,2001,Forced air,Central,2 spaces,$347,"$690,000","1749 W George St, Chicago, IL 60657", No, 3, 3, 3,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will fall 0.3% () in the next year.This home is valued 27.6% higher () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/1749-W-George-St-Chicago-IL-60657/62011051_zpid/,"1,220 sqft","1,990",$336/month,,For Sale
693,Condo,2007,Forced air,Central,2 spaces,$293,"$450,000","5430 N Sheridan Rd APT 507, Chicago, IL 60640", No, 3, 2, 2,"Home values in Edgewater have risen 0.6% () over the past 12 months.Zillow predicts the home values in Edgewater will increase 1.3% () in the next year.This home is valued 85.8% higher () than the median home in Edgewater.The median Zestimate for this neighborhood is $242,192.",https://www.zillow.com/homedetails/5430-N-Sheridan-Rd-APT-507-Chicago-IL-60640/87716707_zpid/,,"1,538",$669/month,,For Sale
694,Condo,2006,Electric,Central,2 spaces,$580,"$1,450,000","1035 N Dearborn St UNIT 8W, Chicago, IL 60610", No, 3, 3, 3,"Home values in Near North have risen 0.6% () over the past 12 months.Zillow predicts the home values in Near North will fall 0% () in the next year.This home is valued 271.8% higher () than the median home in Near North.The median Zestimate for this neighborhood is $390,006.",https://www.zillow.com/homedetails/1035-N-Dearborn-St-UNIT-8W-Chicago-IL-60610/80819574_zpid/,,"2,500","$2,259/mo",,For Sale
695,Single Family,1941,"Forced air, Gas",Central,1 space,$191,"$765,000","5915 N Forest Glen Ave, Chicago, IL 60646", No, 5, 4, 3,"Home values in Sauganash have risen 0.6% () over the past 12 months.Zillow predicts the home values in Sauganash will increase 1.5% () in the next year.This home is valued 75.1% higher () than the median home in Sauganash.The median Zestimate for this neighborhood is $436,778.",https://www.zillow.com/homedetails/5915-N-Forest-Glen-Ave-Chicago-IL-60646/3622974_zpid/,"4,961 sqft","4,000",, 1,For Sale
696,Multi Family,1921,Gas,Central,3 spaces,$382,"$419,900","5723 N Austin Ave, Chicago, IL 60646", No, 5, 3, 3,"Home values in 60646 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Gladstone Park will fall 0.5% () in the next year.This home is valued 5.5% higher () than the median home in Gladstone Park.The median Zestimate for this neighborhood is $398,119.",https://www.zillow.com/homedetails/5723-N-Austin-Ave-Chicago-IL-60646/3626817_zpid/,,"1,100",,,For Sale
697,Condo,1969,"Forced air, Electric",No Data,1 space,$378,"$319,000","175 E Delaware Pl APT 8112, Chicago, IL 60611", No, 1, 1, 1,"Home values in Streeterville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Streeterville will fall 1.2% () in the next year.This home is valued 31.2% lower () than the median home in Streeterville.The median Zestimate for this neighborhood is $463,930.",https://www.zillow.com/homedetails/175-E-Delaware-Pl-APT-8112-Chicago-IL-60611/3850462_zpid/,,843,$581/mo,,For Sale
698,Condo,1997,Forced air,Central,1 space,$364,"$315,000","600 N Dearborn St APT 1609, Chicago, IL 60654", No, 1, 2, 1,"Home values in Near North have risen 0.6% () over the past 12 months.Zillow predicts the home values in Near North will fall 0% () in the next year.This home is valued 19.2% lower () than the median home in Near North.The median Zestimate for this neighborhood is $390,006.",https://www.zillow.com/homedetails/600-N-Dearborn-St-APT-1609-Chicago-IL-60654/63700387_zpid/,,865,$672/mo, 1,For Sale
